Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Prematch,Jul 2021,"Köln, Nordrhein-Westfalen, Germany","Mobile, Natural Language Processing,",11-50,4,"€4,100,000",Seed,"Nov 13, 2023",—,23,1,Prematch is building the #1 platform for grassroots football.
Prodlane,2021,"Leipzig, Sachsen, Germany","Generative AI, Product Management,,,",1-10,3,"€760,000",Seed,"Dec 19, 2024",—,3,—,B2B Generative AI Document Search
Ovom Care,Mar 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Fertility,,",1-10,2,"€5,800,000",Seed,"Apr 30, 2024","€4,800,000",3,22,Ovom Care is an AI healthcare based company.
AuditOne,Jul 2022,"Cologne, Nordrhein-Westfalen,","Blockchain, Cyber Security, Information Technology,,,,,",11-50,1,"€800,000",Seed,"Dec 12, 2023","€800,000",3,1,AuditOne is an audit platform that facilitates seamless smart contracts audit process as well as offers Web3-based verification services.
Mercanis,2020,"Berlin, Berlin, Germany","Enterprise Software, Procurement,",1-10,3,"€9,200,000",Seed,"Aug 17, 2023","€9,200,000",11,12,Mercanis offers state-of-the-art software for procurement and sourcing driven by AI.
Octomind,Mar 2023,"Karlsruhe, Baden-Wurttemberg,","Artificial Intelligence (AI), Software,,",1-10,1,"€4,500,000",Seed,"Feb 23, 2024","€4,500,000",4,8,"Octomind is a developer tool using AI to make automated end-to-end testing stable, fast, and affordable."
askui,"Mar 3, 2021","Karlsruhe, Baden-Wurttemberg,","B2B, Information Technology,,",1-10,3,"€6,050,000",Seed,"Aug 30, 2023","€4,300,000",6,17,"SaaS, Software, Test Automation, RPA"
Procuros,2021,"Hamburg, Hamburg, Germany",Software,11-50,3,"$10,181,895",Seed,"Apr 12, 2022","$9,000,000",12,2,Connect Once. Integrate all trade Partners. - The new standard in B2B transactions
repath,"Aug 31, 2021","Hamburg, Hamburg, Germany","GreenTech, Infrastructure, Software,",1-10,4,"€5,142,000",Seed,"Sep 19, 2024","€3,600,000",16,1,"Identify, understand and act on climate risks decades before they happen with repath's SaaS-solution."
Restate,2022,"Berlin, Berlin, Germany",Software,1-10,1,"$7,000,000",Seed,"Jun 10, 2024","$7,000,000",16,—,"Restate build workflows, event-driven applications, and distributed services in a fault-tolerant manner with durable async/await."
Daato,Dec 2021,"Berlin, Berlin, Germany","Information Technology, SaaS,",11-50,2,"€5,000,000",Seed,"Mar 20, 2024","€5,000,000",3,3,Daato is a holistic ESG management platform for enterprises of all sizes.
ZenML,"Jul 6, 2021","Munich, Bayern, Germany","Enterprise Software, Fraud Detection,,,,,,,,",11-50,2,"$6,400,000",Seed,"Oct 23, 2023","$3,700,000",14,19,"an extensible, open-source MLOps framework for reproducible ML"
Secfix,Apr 2021,"Berlin, Berlin, Germany","B2B, Business Development, Cloud Security,,,,,",11-50,2,"$4,500,000",Seed,"Mar 1, 2023","$3,800,000",3,8,"The fast and easy way to get ISO 27001, GDPR, TISAX and SOC 2 compliant | Compliance & Security Automation"
SEMRON,2020,"Dresden, Sachsen, Germany","3D Technology, Artificial Intelligence (AI),",1-10,3,"€7,300,000",Seed,"Jan 30, 2024","€7,300,000",13,14,"SEMRON develops a 3D-scaled AI inference chip, based on a new proven semiconductor device."
VidLab7,2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Generative AI,",1-10,1,"€3,500,000",Seed,"Sep 17, 2024","€3,500,000",1,2,"VidLab7 is a platform focused on synthetic media, specifically tailored for revenue teams."
Evmos,Jun 2021,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency",11-50,1,"$27,000,000",Seed,"Nov 2, 2022","$27,000,000",11,9,Evmos is Ethereum-based applications and assets to the interoperable networks of the Cosmos ecosystem.
Tidely,"Jan 27, 2021","Munich, Bayern, Germany","Finance, Financial Services, FinTech,,",11-50,2,"€4,700,000",Seed,"Mar 9, 2023","€3,500,000",2,2,Tidely is a liquidity planning software with artificial intelligence
DC Connected,"Oct 8, 2020","Nersingen, Bayern, Germany","Analytics, Artificial Intelligence (AI),,,,,,",1-10,3,"€3,200,000",Seed,"Aug 7, 2024","€2,100,000",6,2,"Saas, Artificial Intelligence, Predicitve Analytics, Automotive, Generative AI"
Blockbrain,"May 6, 2022","Stuttgart, Baden-Wurttemberg,","Artificial Intelligence (AI), Business Process Automation (BPA),,,",11-50,3,"€5,000,000",Seed,"Sep 17, 2024","€2,500,000",16,8,SaaS-Plattform für KI-gestütztes Knowledge Management
CONXAI,Feb 2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Computer Vision,,",11-50,2,"€4,700,000",Seed,"Nov 1, 2023","€2,000,000",5,9,AI that understands construction
Nefta,"Dec 1, 2021","Berlin, Berlin, Germany","Blockchain, Gaming, Information Technology,",11-50,2,"$6,000,000",Seed,"Feb 15, 2023","$5,000,000",6,9,Nefta’s disruptive ad-network and pre-mediation solutions deliver superior revenue performance while rebuilding publisher trust in AdTech.
Interloom Technologies,2024,"München, Bayern, Germany","Artificial Intelligence (AI), Software",11-50,1,"$3,000,000",Seed,"Mar 14, 2024","$3,000,000",1,1,Interloom Technologies redefines process automation for an AI future.
Acto,2021,"Paderborn, Nordrhein-Westfalen,","Artificial Intelligence (AI), B2B,,,",1-10,1,"€3,700,000",Seed,"Feb 22, 2024","€3,700,000",6,—,Acto is an AI-based software that helps sales managers by syncing all sales data in one place and provides a customized data signal to CRM.
Certivity,2021,"München, Bayern, Germany","Legal Tech, SaaS, Software, Web Development",11-50,1,"€1,400,000",Seed,"Jun 7, 2022","€1,400,000",4,2,"Certivity RegTech Software solution makes regulatory management smarter, more transparent, more efficient, and way cheaper."
Crafthunt,"Oct 6, 2022","Munich, Bayern, Germany","Construction, Recruiting, SaaS,",1-10,2,"€3,000,000",Seed,"Jun 4, 2024","€3,000,000",4,—,Europe's largest platform for construction professionals offering the best job opportunities and breaking language barriers
automaited,2021,"Köln, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), B2B,",11-50,2,"€5,000,000",Seed,"Apr 28, 2022","€4,000,000",4,—,"World’s first general process AI that automatically automates any business process. Quick, easy, efficient."
Seqana,"Feb 1, 2021","Berlin, Berlin, Germany","AgTech, Carbon Capture, Food and Beverage,",11-50,4,"$5,690,623",Seed,"May 30, 2024","€2,100,000",9,2,Seqana develops a software enabling carbon capturing for farmers.
Avelios Medical,"Sep 11, 2020","Munich, Bayern, Germany","Health Care, Software",51-100,1,"€2,000,000",Seed,"Nov 2, 2021","€2,000,000",2,1,Modular hospital platform that digitizes and optimizes all processes in hospitals in a user-friendly way.
Tiptap,"Dec 7, 2022","Berlin, Berlin, Germany","Apps, Information Technology,",11-50,1,"$2,615,000",Seed,"Oct 19, 2023","$2,615,000",4,—,Tiptap is the developer toolkit for building collaborative apps.
SureIn,2021,"Berlin, Berlin, Germany","Information Technology, InsurTech,",1-10,2,"€4,000,000",Seed,"Aug 15, 2023","€4,000,000",9,4,SureIn is a developer of an insurance management application designed to make business insurance efficient.
Graswald,2021,"Hanover, Niedersachsen, Germany","3D Technology, Digital Entertainment,,",11-50,3,"$4,627,444",Seed,"Mar 20, 2024","$3,300,000",13,4,Graswald engages in the creation of natural and digital 3D worlds for the entertainment industry.
specter automation,"May 12, 2021","Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Construction,,,",11-50,2,"€2,700,000",Seed,"Jan 31, 2023","€2,700,000",4,1,"B2B SaaS company for AI powered automation of construction site management and tracking, effectively cutting construction delays in half."
Quantagonia,Nov 2021,"Frankfurt, Hessen, Germany","Quantum Computing, Software",11-50,2,"€4,300,000",Seed,"Jul 4, 2023","€3,550,000",4,15,From Complexity to Clarity. DecisionAI Simplifies Optimization for All
marta,"Aug 1, 2020","Berlin, Berlin, Germany","Health Care, Home Health Care,",51-100,2,"€6,600,000",Seed,"Aug 3, 2023",—,14,—,marta provides software for the live-in care market that empowers caregivers and helps our seniors to age in dignity.
VisionAI,"Jan 12, 2021","Bielefeld, Nordrhein-Westfalen,","Artificial Intelligence (AI), E-Commerce,,",51-100,3,"€6,300,000",Seed,"Oct 20, 2023","€5,000,000",11,11,VisionAI® is a rebellious research lab based in the Teutoburg forest.
BlueLayer,2022,"Berlin, Berlin, Germany",Software,11-50,2,"$5,600,000",Seed,"Jan 30, 2024","$5,600,000",2,10,BlueLayer focuses on building software stacks for project developers producing carbon credits.
TransactionLink,"Sep 1, 2020","Berlin, Berlin, Germany","Banking, Financial Services, FinTech,,",11-50,2,"€6,200,000",Seed,"Oct 11, 2023","€5,000,000",3,36,No-code automation platform for building delightful onboarding for FinTechs.
Honeysales,2021,"Berlin, Berlin, Germany","B2B, Information Technology,,",11-50,1,"€2,500,000",Seed,"Jan 17, 2023","€2,500,000",4,3,First B2B Sales AI for Automated Prospecting & Nurturing
Alpas,2020,"Berlin, Berlin, Germany","B2B, Big Data, Enterprise Software,,,",11-50,2,"$2,700,000",Seed,"Aug 29, 2023",—,2,1,Alpas develops software for procurement departments to identify suppliers 10x faster.
Fides,"Sep 3, 2021","Munich, Bayern, Germany",Software,11-50,2,"$4,300,000",Seed,"Oct 12, 2022","$3,300,000",9,6,One-stop-shop for Corporate Governance.
Ninetailed,2021,"Berlin, Berlin, Germany","CMS, Personalization, Software",11-50,3,"€6,600,000",Seed,"Oct 26, 2022","€5,000,000",7,8,Ninetailed primarily offers personalization for headless CMS and modern jamstack frameworks.
yoona.ai,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Machine Learning,,",1-10,6,"$2,193,263",Seed,"Jul 7, 2024",—,4,2,yoona.ai is a B2B SaaS Platform.
deepeye,"Oct 4, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,",11-50,1,"€2,500,000",Seed,"Nov 7, 2023","€2,500,000",4,1,Preventing blindness by improving retinal therapy with AI
Agenta,2023,"Berlin, Berlin, Germany","Apps, Artificial Intelligence (AI),,,,",1-10,2,"€1,100,000",Seed,"Jun 1, 2024","€1,000,000",2,1,Agenta is the open-source LLMOps platform that allows developers build production ready LLM-powered applications.
simplyblock,Jan 2022,"Berlin, Berlin, Germany","Cloud Computing, Cloud Data Services,,,,,,,,",1-10,2,"$3,302,275",Seed,"Feb 15, 2024","$2,750,000",4,15,"Simplyblock develops low-latency high-performance storage software for IO-intensive workloads, Kubernetes, databases & applications."
VoiceLine,2020,"München, Bayern, Germany","Artificial Intelligence (AI), Information Technology,,,",1-10,2,"€2,400,000",Seed,"Aug 13, 2024","€2,400,000",24,3,VoiceLine is an AI-based field sales revenue intelligence tool that automates administrative tasks and provides actionable insights.
NetBird,Jan 2022,"Berlin, Berlin, Germany","Cyber Security, IaaS, Information Services,",1-10,4,"€5,200,000",Seed,"Dec 3, 2024","€4,000,000",8,9,NetBird is a cybersecurity company that is building an open-source platform to simplify the deployment of Virtual Private Networks.
Rex,Nov 2021,"Berlin, Berlin, Germany","Apps, Health Care, Pet, Veterinary",51-100,2,"€5,000,000",Seed,"Jul 18, 2022","€5,000,000",22,—,"Rex is a platform building and operating design-forward, tech-enabled vet clinics."
einwert,2022,"München, Bayern, Germany","Property Management, Real Estate,",1-10,2,"€6,000,000",Seed,"Jan 9, 2024","€4,000,000",12,9,Hybrid appraiser reimagining real estate valuation as a whole new ESG-compliant value experience
PIONIX,"Feb 12, 2021","Bruchsal, Baden-Wurttemberg,","Electric Vehicle, Energy, Software",11-50,3,"€5,700,000",Seed,"May 22, 2023","€4,300,000",9,—,open source software as a service for charging stations / e-mobility
DasLab,"Sep 20, 2020","Berlin, Berlin, Germany","Health Care, Health Diagnostics,,,",11-50,1,"€6,200,000",Seed,"Feb 28, 2022","€6,200,000",4,2,"DasLab provides digital workflows for medical tests and vaccinations for patients, doctors, and laboratories."
Assemblio,2022,"Stuttgart, Baden-Wurttemberg,","Artificial Intelligence (AI), Industrial,,",11-50,1,"€2,100,000",Seed,"Feb 28, 2024","€2,100,000",11,4,Assemblio offers an AI-based software solution for time- and cost-efficient assembly planning
Kaiko Systems,"Oct 19, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Machine Learning,,,,",251-500,1,"€2,000,000",Seed,"Sep 21, 2022","€2,000,000",6,10,Kaiko Systems is an operational intelligence company that uses AI to turn frontline data into real-time asset health insights.
Sunhat,2022,"Cologne, Nordrhein-Westfalen,","Business Information Systems,,",11-50,2,"€5,000,000",Seed,"Feb 27, 2024","€3,000,000",5,6,Sunhat is an automation tool that combines software engineering and sustainability expertise to help supply chain businesses.
oculai,"Jul 20, 2021","Munich, Bayern, Germany","Computer Vision, Construction,,,,",11-50,2,"€2,500,000",Seed,"Mar 14, 2023","€2,500,000",6,4,Oculai is a SaaS solution for camera-based data collection on construction sites using intelligent computer vision algorithms.
Ordio,"Jan 1, 2021","Cologne, Nordrhein-Westfalen,","Apps, Food and Beverage, Information Technology,,,,,",101-250,2,"€3,900,000",Seed,"Jan 16, 2023","€2,900,000",10,5,Deskless Workforce Management
Veecle,"Jun 29, 2021","Berlin, Berlin, Germany","Automotive, B2B, Cyber Security,,,,,,,",1-10,4,"$5,011,940",Seed,"Nov 23, 2023","€2,600,000",4,—,"Veecle, automotive software development with our innovative runtime, enabling software-defined vehicles within existing vehicle systems."
Klar,2021,"Munich, Bayern, Germany","Data Center, E-Commerce, Software",11-50,1,"€2,300,000",Seed,"Mar 29, 2022","€2,300,000",7,—,Klar engages in building data platforms for growing e-commerce brands.
ContractHero,2020,"Berlin, Berlin, Germany","B2B, SaaS, Small and Medium Businesses,",11-50,2,"€3,550,000",Seed,"Jul 6, 2023","€2,150,000",6,1,ContractHero is a digital contract management solution for business customers.
Senvo,2023,"Berlin, Berlin, Germany","Information Technology, Logistics,",1-10,1,"€2,500,000",Seed,"Sep 27, 2024","€2,500,000",5,1,Senvo develops a last-mile data insights platform for organizations.
mogenius,"Feb 2, 2021","Cologne, Nordrhein-Westfalen,","Cloud Computing, DevOps, Enterprise,,,",11-50,2,"€2,500,000",Seed,"Jul 18, 2024","€2,500,000",5,1,mogenius is a Kubernetes Operations Platform that helps teams to deploy and manage applications on Kubernetes easily.
Immerok,May 2022,"Berlin, Berlin, Germany","Cloud Data Services, Developer Platform,,",11-50,1,"$17,000,000",Seed,"Oct 3, 2022","$17,000,000",5,10,Immerok is building a fully managed Apache Flink cloud service for real-time stream processing applications at scale.
LEVY Health,Feb 2020,"Berlin, Berlin, Germany","Biotechnology, Fertility, Health Care,,,",11-50,4,"$8,160,245",Seed,"Oct 9, 2024","$4,500,000",10,5,"The LEVY Fertility Code is a clinical decision support software for endocrine disorders, empowering clinicians to diagnose women faster."
ONVY HealthTech,"Jan 16, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,,,,,",1-10,5,"€2,650,000",Seed,"Aug 9, 2023",—,4,3,AI-as-a-Service for the Health and Wellness Industry. Data-driven Health Tech Personalization.
fija Finance GmbH,Jul 2022,"Munich, Bayern, Germany","Blockchain, Decentralized Finance (DeFi),,",1-10,3,"€1,710,000",Seed,"Nov 5, 2024","€1,200,000",4,—,"fija offers a Compliant, Easy and Transparent Crypto Earn Product for Resellers and Institutional Investors."
DGTAL,2021,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Insurance,,",11-50,1,"€3,000,000",Seed,"Sep 7, 2023","€3,000,000",2,3,DGTAL is the first AI platform that will enable fully automated claims management by leveraging the power of unstructured data analytics.
Una Health,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Diabetes,,,",1-10,3,"$2,500,000",Seed,"Feb 15, 2024","$2,500,000",6,1,"The most effective Digital Therapy to reverse metabolic dysfunction based on mobile technology, biosensors, AI and behavioral science."
Exakt Health,2021,"Berlin, Berlin, Germany","Apps, Health Care, Medical, Sports",11-50,4,"$4,530,677",Seed,"Sep 23, 2024","€2,200,000",17,3,Exakt Health is a physio app for sports injuries that creates an individualized rehabilitation plan.
Complori,"Nov 3, 2020","Berlin, Berlin, Germany","EdTech, Education, Information Technology",11-50,2,"€3,500,000",Seed,"Apr 10, 2024",—,4,—,We build the number one platform for parents seeking future-ready out of school activities for their children.
Kodex AI,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",11-50,2,"$1,815,005",Seed,"Oct 6, 2023","€1,600,000",8,12,Kodex AI offers AI risk management software enabling businesses to assess and control their AI risk quickly.
Cogram,"Dec 4, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,2,"$4,500,000",Seed,"Apr 23, 2022","$4,000,000",3,1,The intelligent AI coworker for your team
Green Fusion,2021,"Berlin, Berlin, Germany","Energy Management, Software",11-50,3,"€2,925,000",Seed,"Feb 21, 2023","€2,700,000",7,1,Green Fusion develops a simple and secure software solution for more efficient control of your energy system.
JUPUS,2022,"Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Legal Tech,",11-50,3,"€1,850,000",Seed,"May 28, 2024","€1,300,000",8,2,JUPUS is the AI secretary for law firms
Penzilla GmbH,"Jul 21, 2021","Munich, Bayern, Germany","FinTech, Software",11-50,1,"€2,500,000",Seed,"May 8, 2023","€2,500,000",3,—,Penzilla GmbH offers a solution that helps everyone get the maximum benefit from corporate pension options.
YGO Trips,"Aug 31, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Tourism,",1-10,2,"€2,500,000",Seed,"Aug 7, 2024","€2,500,000",8,2,"YGO Trips is a travel company that allows travellers to book flights, hotels, activities, events & more, conveniently on one platform."
Junto,2022,"Berlin, Berlin, Germany","E-Learning, EdTech, Software",1-10,3,"€6,200,000",Seed,"Aug 10, 2022","€5,000,000",14,1,Junto is an EdTech that offers digital live training for companies.
ONIQ,Sep 2020,"Cologne, Nordrhein-Westfalen,","Application Performance Management,,,,,",11-50,2,"€3,925,000",Seed,"Jul 20, 2022","€3,500,000",2,5,Enabling next level productivity gains through digital lean manufacturing and end-to-end process transparency.
Embea,Jan 2022,"Berlin, Berlin, Germany","Financial Services, Insurance,,",11-50,1,"€4,000,000",Seed,"Feb 20, 2024","€4,000,000",6,6,Embea is an Embedded Insurance company for Life & Health
encentive,2020,"Neumünster, Schleswig-Holstein,","Clean Energy, Energy, Energy Efficiency,,",11-50,2,"€2,700,000",Seed,"Jan 22, 2024","€2,700,000",7,5,Flexibility-as-a-Service for Utilities and Grid Operators
Arbio Group,2022,"Berlin, Berlin, Germany","Hospitality, Property Management,,,",51-100,2,"€25,000,000",Seed,"May 1, 2024","€20,000,000",14,—,Arbio is transforming the property management landscape for alternative accommodations by leveraging advanced AI technology.
eco.mio,2021,"Berlin, Berlin, Germany","SaaS, Software, Sustainability",11-50,4,"€785,000",Seed,"Jun 18, 2024",—,14,12,Eco.mio empowers companies to achieve their climate goals while simultaneously realizing significant cost savings on business travel.
emlen,2020,"Berlin, Berlin, Germany","B2B, E-Commerce Platforms, Sales,",11-50,2,"$5,400,000",Seed,"Sep 30, 2021","$4,200,000",2,—,emlen is a first-buyer enablement platform that enables business-to-business clients to create visually appealing digital sales rooms.
Solarize,2020,"Stuttgart, Baden-Wurttemberg,","Energy, SaaS",11-50,2,"€6,300,000",Seed,"Oct 11, 2022","€4,300,000",3,—,"Solarize provides SaaS for energy production, distribution, and billing for commercial microgrids."
Autonomo Technologies,"May 25, 2021","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Computer Vision,,",11-50,2,"$4,519,159",Seed,"Mar 13, 2024","€2,300,000",5,2,Autonomo Simplifies Shopping for Retailers and Customers
QuoIntelligence,"Mar 5, 2020","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Cyber Security,,,",51-100,1,"€5,000,000",Seed,"Jul 27, 2023","€5,000,000",3,3,"Our Finished Intelligence, tailor-made for your organization"
Fyrfeed,"Oct 10, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Content Marketing,,,,",11-50,4,"€2,430,000",Seed,"May 17, 2022","€2,000,000",11,—,"Fyrfeed is an AI-powered subscription service delivering high-quality, ready-to-publish content for b2b customers."
ai-omatic solutions,2020,"Hamburg, Hamburg, Germany",Software,11-50,3,"$2,996,489",Seed,"Jan 11, 2024","€2,000,000",6,3,AI-omatic solutions develop a digital maintenance assistant that transfers an engineer's expert knowledge to an AI system.
AWAKE Mobility,2020,"Munich, Bayern, Germany","Machine Learning, Railroad, Transportation",1-10,2,"€4,000,000",Seed,"Sep 12, 2022","€4,000,000",8,—,"AWAKE Mobility is a Data Science Startup, that supports bus operators with digital transformation."
Dermanostic,2020,"Düsseldorf, Nordrhein-Westfalen,","Apps, Health Care, Medical, Telehealth,",101-250,3,"$2,000,000",Seed,"May 9, 2023",—,3,4,Dermanostic is an online dermatologist app that offers dermatological treatment available to everyone.
AwesomeQA,2022,"Mühldorf Am Inn, Bayern, Germany","Artificial Intelligence (AI), Customer Service,,",1-10,1,"$2,800,000",Seed,"Jul 11, 2023","$2,800,000",10,4,"An AI bot that provides direct answers to community questions on Discord, Telegram, and websites."
koppla,"Apr 21, 2020","Potsdam, Brandenburg, Germany","Construction, Real Estate, SaaS,",11-50,2,"€1,600,000",Seed,"Oct 14, 2021","€1,600,000",3,1,koppla is the intuitive construction schedule that turns chaos into ease.
enclaive,"Jan 25, 2022","Berlin, Berlin, Germany","Cyber Security, Information Technology,,",11-50,1,"€1,650,000",Seed,"Jun 13, 2023","€1,650,000",4,—,Making the cloud the safest place for digital businesses
zero44,2022,"Berlin, Berlin, Germany",Software,1-10,1,"€2,500,000",Seed,"May 25, 2023","€2,500,000",3,1,Zero44 is a software company that helps in the digitization of the maritime industry.
Konfetti,"Apr 28, 2021","Berlin, Berlin, Germany","E-Learning, Education, Events,,",11-50,2,"€2,000,000",Seed,"Feb 23, 2023","€2,000,000",5,3,Konfetti is an online booking platform for workshops and events.
Tomorrow Things,2021,"Bonn, Nordrhein-Westfalen, Germany","Business Development, SaaS,",1-10,1,"€1,500,000",Seed,"Mar 13, 2024","€1,500,000",9,—,Tomorrow Thing is an intelligent automation platform that makes digital twins of technological assets.
INHUBBER,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,,,",11-50,7,"€1,845,000",Seed,"Aug 1, 2022",—,5,19,INHUBBER is the world's safest SaaS contract lifecycle management platform with a native digital signature.
enna,"Aug 12, 2020","Munich, Bayern, Germany","Communication Hardware, Elder Care,,,,",11-50,4,"€750,000",Seed,"Nov 20, 2024",—,5,8,enna is the window to the digital world for people who have problems using smartphones or tablets
Tilores,Nov 2021,"Berlin, Berlin, Germany","Big Data, Cloud Data Services,,,,",1-10,1,"€1,200,000",Seed,"Jan 27, 2022","€1,200,000",7,3,High-performance entity resolution as a service
Propel,"Jan 6, 2020","Berlin, Berlin, Germany","Communities, Financial Services,,,",11-50,3,"$2,907,522",Seed,"Jul 10, 2023","€2,500,000",6,2,"Helping growth-stage companies hire top tech talent from emerging markets, curated through a data-driven 'Community-as-a-Service' platform."
21strategies,"Mar 9, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Finance,,,,,,,,",1-10,3,"€3,375,000",Seed,"Dec 13, 2022","€1,875,000",2,101,21strategies leverages deep technology and Enterprise AI to transform how organizations make decisions under uncertainty.
Coqui,2021,"Berlin, Berlin, Germany","Information Services, Information Technology,",11-50,1,"$3,300,000",Seed,"Mar 19, 2023","$3,300,000",3,2,Coqui is a startup that provides open speech tech for everyone.
Pathmonk,May 2020,"Düsseldorf, Nordrhein-Westfalen,","Artificial Intelligence (AI), Software",11-50,2,"€1,700,000",Seed,"Aug 11, 2022","€1,500,000",2,2,"Pathmonk is an intelligent assistant for websites, to increase conversions and qualify leads."
Driveblocks,2021,"Garching Bei München, Bayern,","Autonomous Vehicles, Software",1-10,1,"€2,200,000",Seed,"Sep 8, 2023","€2,200,000",4,3,Driveblocks is a software expert in completely automated commercial vehicle driving.
Hema.to,2021,"München, Bayern, Germany","Artificial Intelligence (AI), Health Care,",1-10,1,"€3,600,000",Seed,"May 22, 2023","€3,600,000",3,1,"Hema.to provides fully automated, AI-powered blood cancer detection suggestions based on flow cytometry data."
Mainteny,2020,"Berlin, Berlin, Germany","Facility Management, Software",11-50,2,"$3,034,021",Seed,"Mar 20, 2023","€2,700,000",4,—,Mainteny helps facility management companies increase profit and service quality by providing digital tools for their everyday work.
Fraud0,2020,"Munich, Bayern, Germany","Advertising, Fraud Detection, Network Security,",1-10,1,"€6,000,000",Seed,"Aug 30, 2023","€6,000,000",17,—,"Fraud0 is a software that renders uncontaminated analytics, automated non-human traffic, fraud and advertising detection solutions."
Aivy,"Jan 28, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Human Resources,,,,",11-50,5,"€2,158,000",Seed,"Aug 4, 2022","€1,000,000",4,—,Scientific Diagnostic-SaaS that helps HR to achieve a 5x better pre-selection and avoid 30 % of their bad hires before the first interview.
chargeIQ,2020,"Leinfelden-echterdingen, Baden-Wurttemberg,","Charging Infrastructure, Electric Vehicle,,,,",11-50,2,"€1,325,000",Seed,"Sep 15, 2024",—,1,—,chargeIQ provides a B2B-SaaS-solution for the niche of the mass market.
reteach,"Mar 25, 2020","Berlin, Berlin, Germany",Software,1-10,1,"€1,500,000",Seed,"Feb 28, 2024","€1,500,000",2,1,Reteach creates software and digital tools for online learning and training.
seedtrace,"Jun 10, 2020","Berlin, Berlin, Germany",SaaS,1-10,2,"€2,550,000",Seed,"Jul 4, 2023","€2,000,000",6,3,"SaaS startup that develops a digital platform to manage, prove and communicate sustainability and supply chain information."
sykell,2021,"Berlin, Berlin, Germany","Packaging Services, Retail Technology,",11-50,3,"€4,500,000",Seed,"May 3, 2023","€4,500,000",5,2,The reusable system for food retail and service
nuwo,"Jan 14, 2021","Berlin, Berlin, Germany",Software,11-50,2,"€2,750,000",Seed,"Jul 25, 2023","€2,750,000",8,8,"Workplace as-a-Service, Equipping Employees"
UpVisit,"Apr 28, 2022","Stuttgart, Baden-Wurttemberg,","Augmented Reality, Education,,,,,,",1-10,2,"€1,600,000",Seed,"May 7, 2024","€1,600,000",1,—,"UpVisit is a digital operating system for upgrading physical spaces, with DeepTech access and connects the analog and digital worlds."
Exazyme,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Biotechnology,,",1-10,2,"€2,430,000",Seed,"May 15, 2023","€2,200,000",3,—,Exazyme leverages advanced AI/ML tools to streamline protein design in the most efficient and effective way.
TRAIT,"Nov 1, 2021","Berlin, Berlin, Germany",Mobile Apps,1-10,1,"€1,000,000",Seed,"Jul 22, 2024","€1,000,000",2,1,TRAIT Running Coach app for your iphone or ipad tablet.
Ankaadia,Aug 2021,"Oberursel, Hessen, Germany","Health Care, SaaS, Software",11-50,1,"€1,800,000",Seed,"Jun 1, 2023","€1,800,000",3,6,Ankaadia is a SaaS application for the placement and integration of international care professionals to Germany.
MARA Solutions,"Mar 31, 2020","Mannheim, Baden-Wurttemberg,","Analytics, Artificial Intelligence (AI),,,,,,",11-50,3,"€747,000",Seed,"May 1, 2022","€500,000",—,—,AI Review Reply Assistant & Customer Review Analytics
Collato,2020,"Berlin, Berlin, Germany","B2B, SaaS, Software",11-50,1,"€4,200,000",Seed,"Nov 24, 2021","€4,200,000",4,2,"Collato, a smart notetaker for busy people."
tantum sana GmbH,"Oct 1, 2021","Pfungstadt, Hessen, Germany","Apps, Assisted Living, Consumer Electronics,,,,,",11-50,1,"€3,400,000",Seed,"Oct 1, 2021","€3,400,000",—,3,Tantum sana provides a smart medication dispenser for elderly people and their caregivers.
HarvestAi,2020,"Potsdam, Brandenburg, Germany","Artificial Intelligence (AI), Farming,,",11-50,1,"€2,700,000",Seed,"Jul 1, 2021","€2,700,000",—,1,SaaS for predicting plant growth and optimizing operations in greenhouses.
